pcc,leaf,iqrv1,6,0:15:01
pcc,leaf,nofilter,8,0:23:36
clr,leaf,iqr,4,19:58:47
aracne,leaf,iqr,4,1 day and 11:32:32
fastggm,leaf,iqr,2,3 days and 0:01:16
mrnet,leaf,iqr,2,6:09:05
tinge,leaf,mixv1,8,0:34:47
tinge,leaf,mix-v1,2,0:33:22
tinge,leaf,iqrv2,8,0:39:24
tinge,leaf,mixv2,8,0:29:05
tinge,leaf,iqrv1,10,0:40:11
tinge,leaf,nofilter,12,1:04:47
wgcna,light,mixv1,8,0:06:20
wgcna,light,nofilter,6,0:13:02
wgcna,light,iqrv1,8,0:07:41
grnboost,light,iqr,2,9:41:40
grnboost,light,nofilter,2,1 day and 0:55:50
grnboost,light,mix,2,11:31:12
genie3,light,iqr,2,1 day and 1:00:56
pcc,light,mixv1,2,0:06:28
pcc,light,nofilter,6,0:13:26
pcc,light,iqrv1,4,0:07:56
pcc,light,mix-v1,2,0:06:27
clr,light,iqr,4,6:58:00
aracne,light,iqr,2,1 day and 3:53:20
fastggm,light,iqr,2,3 days and 0:00:16
mrnet,light,iqr,2,5:35:55
tinge,light,mixv1,6,0:11:26
tinge,light,nofilter,8,0:23:45
tinge,light,iqrv1,8,0:13:58
tinge,light,mix-v1,2,0:11:22
wgcna,nutrients,iqrv1,8,0:09:05
wgcna,nutrients,nofilter,6,0:12:55
wgcna,nutrients,mixv1,8,0:06:56
grnboost,nutrients,mix,2,14:14:56
grnboost,nutrients,iqr,2,11:43:11
grnboost,nutrients,nofilter,2,1 day and 2:36:37
genie3,nutrients,iqr,2,1 day and 6:37:07
pcc,nutrients,iqrv1,4,0:09:21
pcc,nutrients,nofilter,6,0:13:49
pcc,nutrients,mix-v1,2,0:07:25
pcc,nutrients,mixv1,2,0:06:54
clr,nutrients,iqr,4,8:33:44
aracne,nutrients,iqr,2,4 days and 17:51:36
fastggm,nutrients,iqr,2,3 days and 0:01:17
mrnet,nutrients,iqr,2,8:11:05
tinge,nutrients,iqrv1,8,0:17:10
tinge,nutrients,nofilter,8,0:24:56
tinge,nutrients,mix-v1,2,0:13:38
tinge,nutrients,mixv1,6,0:12:11
wgcna,root,iqrv1,8,0:12:41
wgcna,root,nofilter,6,0:18:58
wgcna,root,mixv1,8,0:09:36
grnboost,root,iqr,2,1 day and 15:48:11
grnboost,root,mix,2,1 day and 7:20:49
grnboost,root,nofilter,2,4 days and 7:52:08
genie3,root,iqr,2,3 days and 1:57:41
pcc,root,iqrv1,6,0:14:20
pcc,root,nofilter,8,0:21:06
pcc,root,mix-v1,2,0:10:24
pcc,root,mixv1,4,0:17:43
clr,root,iqr,4,17:19:04
aracne,root,iqr,2,4 days and 23:43:00
fastggm,root,iqr,2,3 days and 0:01:33
mrnet,root,iqr,2,6:50:49
tinge,root,iqrv1,4,0:34:52
tinge,root,nofilter,4,0:53:45
tinge,root,mix-v1,2,0:26:11
tinge,root,mixv1,2,0:26:13
wgcna,rosette,mixv1,8,0:06:01
wgcna,rosette,iqrv1,8,0:08:32
wgcna,rosette,nofilter,6,0:12:55
grnboost,rosette,mix,2,12:26:41
grnboost,rosette,iqr,2,9:40:27
grnboost,rosette,nofilter,2,1 day and 1:56:39
genie3,rosette,iqr,2,1 day and 3:15:51
pcc,rosette,mixv1,4,0:15:16
pcc,rosette,iqrv1,6,0:08:44
pcc,rosette,nofilter,8,0:13:09
pcc,rosette,mix-v1,2,0:06:07
clr,rosette,iqr,4,7:41:35
aracne,rosette,iqr,2,1 day and 11:06:15
fastggm,rosette,iqr,2,3 days and 0:00:57
mrnet,rosette,iqr,2,6:41:21
tinge,rosette,mixv1,2,0:11:10
tinge,rosette,iqrv1,4,0:15:26
tinge,rosette,nofilter,4,0:23:44
tinge,rosette,mix-v1,2,0:10:48
wgcna,seed,iqrv1,8,0:08:48
wgcna,seed,nofilter,6,0:11:01
wgcna,seed,mixv1,8,0:05:23
wgcna,seedling2wk,nofilter,2,1:38:35
wgcna,seedling1wk,nofilter,2,1:42:22
grnboost,seed,iqr,2,7:43:52
grnboost,seed,nofilter,2,19:02:27
grnboost,seed,mix,2,8:42:11
genie3,seed,iqr,2,16:42:39
pcc,seed,iqrv1,6,0:08:47
pcc,seed,nofilter,8,0:10:49
pcc,seed,mixv1,4,0:16:45
pcc,seed,mix-v1,2,0:05:13
clr,seed,iqr,4,5:42:14
aracne,seed,iqr,2,1 day and 21:47:56
fastggm,seed,iqr,2,3 days and 0:00:23
mrnet,seed,iqr,2,9:27:55
tinge,seed,iqrv1,4,0:11:27
tinge,seed,nofilter,4,0:14:18
tinge,seed,mixv1,2,0:06:58
tinge,seed,mix-v1,2,0:06:56
wgcna,seedling1wk,iqrv1,8,0:11:42
wgcna,seedling1wk,mixv1,8,0:08:48
wgcna,seedling1wk,nofilter,8,0:19:16
grnboost,seedling1wk,iqr,2,1 day and 7:18:32
grnboost,seedling1wk,mix,2,1 day and 0:58:48
grnboost,seedling1wk,nofilter,2,4 days and 12:38:42
