FileId,Accepted,QCNotes
E-MEXP-828_22,Y,NA
E-MEXP-828_23,Y,NA
E-MEXP-828_24,Y,NA
E-MEXP-828_25,Y,NA
E-MEXP-828_26,Y,NA
E-MEXP-828_27,Y,NA
E-MEXP-828_28,Y,NA
E-MEXP-828_29,Y,NA
E-MEXP-828_3,Y,NA
E-MEXP-828_30,Y,NA
E-MEXP-828_31,Y,NA
E-MEXP-828_32,Y,NA
E-MEXP-828_33,Y,NA
E-MEXP-828_34,Y,NA
E-MEXP-828_4,Y,NA
E-MEXP-828_5,Y,NA
E-MEXP-828_6,Y,NA
E-MEXP-828_7,Y,NA
E-MEXP-828_8,Y,NA
E-MEXP-828_9,Y,NA
E-MTAB-1264_11,Y,NA
E-MTAB-1264_12,Y,NA
E-MTAB-1264_13,Y,NA
E-MTAB-1264_14,Y,NA
E-MTAB-1264_15,Y,NA
E-MTAB-1264_16,Y,NA
E-MTAB-1264_17,Y,NA
E-MTAB-1264_18,Y,NA
E-MTAB-1264_19,Y,NA
E-MTAB-1264_20,Y,NA
E-MTAB-1354_1,Y,NA
E-MTAB-1354_10,Y,NA
E-MTAB-1354_100,Y,Manual Acceptance
E-MTAB-1354_101,Y,Manual Acceptance
E-MTAB-1354_102,Y,NA
E-MTAB-1354_103,Y,NA
E-MTAB-1354_104,Y,NA
E-MTAB-1354_105,Y,NA
E-MTAB-1354_106,Y,NA
E-MTAB-1354_107,Y,NA
E-MTAB-1354_108,Y,NA
E-MTAB-1354_109,Y,NA
E-MTAB-1354_11,N,Automatic QC Rejection
E-MTAB-1354_110,Y,NA
E-MTAB-1354_111,Y,NA
E-MTAB-1354_112,Y,NA
E-MTAB-1354_113,Y,NA
E-MTAB-1354_114,Y,NA
E-MTAB-1354_115,Y,NA
E-MTAB-1354_116,Y,NA
E-MTAB-1354_117,Y,NA
E-MTAB-1354_118,Y,NA
E-MTAB-1354_119,Y,NA
E-MTAB-1354_12,Y,NA
E-MTAB-1354_120,Y,NA
E-MTAB-1354_121,Y,NA
E-MTAB-1354_122,Y,NA
E-MTAB-1354_123,Y,NA
E-MTAB-1354_124,Y,NA
E-MTAB-1354_125,Y,NA
E-MTAB-1354_126,Y,NA
E-MTAB-1354_127,Y,NA
E-MTAB-1354_128,Y,NA
E-MTAB-1354_129,Y,NA
E-MTAB-1354_13,Y,NA
E-MTAB-1354_130,Y,NA
E-MTAB-1354_131,Y,NA
E-MTAB-1354_132,Y,NA
E-MTAB-1354_133,Y,NA
E-MTAB-1354_134,Y,NA
E-MTAB-1354_135,Y,NA
E-MTAB-1354_136,Y,NA
E-MTAB-1354_137,Y,NA
E-MTAB-1354_138,Y,NA
E-MTAB-1354_139,Y,NA
E-MTAB-1354_14,Y,NA
E-MTAB-1354_140,Y,NA
E-MTAB-1354_141,Y,NA
E-MTAB-1354_142,Y,NA
E-MTAB-1354_143,Y,NA
E-MTAB-1354_144,Y,NA
E-MTAB-1354_145,Y,NA
E-MTAB-1354_146,Y,NA
E-MTAB-1354_147,Y,NA
E-MTAB-1354_148,Y,NA
E-MTAB-1354_149,Y,NA
E-MTAB-1354_15,Y,NA
E-MTAB-1354_150,Y,NA
E-MTAB-1354_151,Y,NA
E-MTAB-1354_152,Y,NA
E-MTAB-1354_153,Y,NA
E-MTAB-1354_154,Y,NA
E-MTAB-1354_155,Y,NA
E-MTAB-1354_156,Y,NA
E-MTAB-1354_16,Y,NA
E-MTAB-1354_17,Y,NA
E-MTAB-1354_18,Y,NA
E-MTAB-1354_19,Y,NA
E-MTAB-1354_2,Y,NA
E-MTAB-1354_20,Y,NA
E-MTAB-1354_21,Y,NA
E-MTAB-1354_22,Y,NA
E-MTAB-1354_23,Y,NA
E-MTAB-1354_24,Y,NA
E-MTAB-1354_25,Y,NA
E-MTAB-1354_26,Y,NA
E-MTAB-1354_27,Y,NA
E-MTAB-1354_28,Y,NA
E-MTAB-1354_29,Y,NA
E-MTAB-1354_3,Y,NA
E-MTAB-1354_30,Y,NA
E-MTAB-1354_31,Y,NA
E-MTAB-1354_32,Y,NA
E-MTAB-1354_33,Y,NA
E-MTAB-1354_34,Y,NA
E-MTAB-1354_35,Y,NA
E-MTAB-1354_36,Y,NA
E-MTAB-1354_37,Y,NA
E-MTAB-1354_38,Y,NA
E-MTAB-1354_39,Y,NA
E-MTAB-1354_4,Y,NA
E-MTAB-1354_40,Y,NA
E-MTAB-1354_41,Y,NA
E-MTAB-1354_42,Y,NA
E-MTAB-1354_43,Y,NA
E-MTAB-1354_44,Y,NA
E-MTAB-1354_45,Y,NA
E-MTAB-1354_46,Y,NA
E-MTAB-1354_47,Y,NA
E-MTAB-1354_48,Y,NA
E-MTAB-1354_49,Y,NA
E-MTAB-1354_5,Y,NA
E-MTAB-1354_50,Y,NA
E-MTAB-1354_51,Y,NA
E-MTAB-1354_52,Y,NA
E-MTAB-1354_53,Y,NA
E-MTAB-1354_54,Y,NA
E-MTAB-1354_55,Y,NA
E-MTAB-1354_56,Y,NA
E-MTAB-1354_57,Y,NA
E-MTAB-1354_58,Y,NA
E-MTAB-1354_59,Y,NA
E-MTAB-1354_6,Y,NA
E-MTAB-1354_60,Y,NA
E-MTAB-1354_61,Y,NA
E-MTAB-1354_62,Y,NA
E-MTAB-1354_63,Y,NA
E-MTAB-1354_64,Y,NA
E-MTAB-1354_65,Y,NA
E-MTAB-1354_66,Y,NA
E-MTAB-1354_67,Y,NA
E-MTAB-1354_68,Y,NA
E-MTAB-1354_69,Y,NA
E-MTAB-1354_7,Y,NA
E-MTAB-1354_70,Y,NA
E-MTAB-1354_71,Y,NA
E-MTAB-1354_72,Y,NA
E-MTAB-1354_73,Y,NA
E-MTAB-1354_74,Y,NA
E-MTAB-1354_75,Y,NA
E-MTAB-1354_76,Y,NA
E-MTAB-1354_77,Y,NA
E-MTAB-1354_78,Y,NA
E-MTAB-1354_79,Y,NA
E-MTAB-1354_8,Y,NA
E-MTAB-1354_80,Y,NA
E-MTAB-1354_81,Y,NA
E-MTAB-1354_82,Y,NA
E-MTAB-1354_83,Y,NA
E-MTAB-1354_84,Y,NA
E-MTAB-1354_85,Y,NA
E-MTAB-1354_86,Y,NA
E-MTAB-1354_87,Y,NA
E-MTAB-1354_88,Y,NA
E-MTAB-1354_89,Y,NA
E-MTAB-1354_9,Y,NA
E-MTAB-1354_90,Y,NA
E-MTAB-1354_91,Y,NA
E-MTAB-1354_92,Y,NA
E-MTAB-1354_93,Y,NA
E-MTAB-1354_94,Y,NA
E-MTAB-1354_95,Y,NA
E-MTAB-1354_96,Y,NA
E-MTAB-1354_97,Y,NA
E-MTAB-1354_98,Y,NA
E-MTAB-1354_99,Y,NA
E-MTAB-1582_1,Y,NA
E-MTAB-1582_2,Y,NA
E-MTAB-1582_3,Y,NA
E-MTAB-1582_4,Y,NA
E-MTAB-1582_5,Y,NA
E-MTAB-1582_6,Y,NA
E-MTAB-2565_1,Y,NA
E-MTAB-2565_10,Y,NA
E-MTAB-2565_11,Y,NA
E-MTAB-2565_12,Y,NA
E-MTAB-2565_13,Y,NA
E-MTAB-2565_14,Y,NA
E-MTAB-2565_15,Y,NA
E-MTAB-2565_16,Y,NA
E-MTAB-2565_17,Y,NA
E-MTAB-2565_18,Y,NA
E-MTAB-2565_19,Y,NA
E-MTAB-2565_2,Y,NA
E-MTAB-2565_20,Y,NA
E-MTAB-2565_21,Y,NA
