Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSE9728GSM245920	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn3-1 mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn3-1 mutant	7	day	GSE9728GSM245920 sample	P-G9728-7	GSE9728GSM245920 extract	total_RNA	P-G9728-1	GSE9728GSM245920 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn3-1 mutant dark replicate 2	A-AFFY-2	P-AFFY-6	csn3-1 mutant dark replicate 2	GSM245920.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn3-1 mutant
GSE9728GSM245921	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn3-1 mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn3-1 mutant	7	day	GSE9728GSM245921 sample	P-G9728-7	GSE9728GSM245921 extract	total_RNA	P-G9728-1	GSE9728GSM245921 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn3-1_mutant_dark replicate 1	A-AFFY-2	P-AFFY-6	csn3-1_mutant_dark replicate 1	GSM245921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn3-1 mutant
GSE9728GSM245919	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn3-1 mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn3-1 mutant	7	day	GSE9728GSM245919 sample	P-G9728-7	GSE9728GSM245919 extract	total_RNA	P-G9728-1	GSE9728GSM245919 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn3-1 mutant dark replicate 1	A-AFFY-2	P-AFFY-6	csn3-1 mutant dark replicate 1	GSM245919.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn3-1 mutant
GSE9728GSM245910	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, light grown:  csn3-1 mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn3-1 mutant	7	day	GSE9728GSM245910 sample	P-G9728-4	GSE9728GSM245910 extract	total_RNA	P-G9728-1	GSE9728GSM245910 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn3-1 mutant light replicate 1	A-AFFY-2	P-AFFY-6	csn3-1 mutant light replicate 1	GSM245910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn3-1 mutant
GSE9728GSM245912	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, light grown:  csn3-1 mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn3-1 mutant	7	day	GSE9728GSM245912 sample	P-G9728-4	GSE9728GSM245912 extract	total_RNA	P-G9728-1	GSE9728GSM245912 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn3-1 mutant light replicate 3	A-AFFY-2	P-AFFY-6	csn3-1 mutant light replicate 3	GSM245912.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn3-1 mutant
GSE9728GSM245911	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, light grown:  csn3-1 mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn3-1 mutant	7	day	GSE9728GSM245911 sample	P-G9728-4	GSE9728GSM245911 extract	total_RNA	P-G9728-1	GSE9728GSM245911 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn3-1 mutant light replicate 2	A-AFFY-2	P-AFFY-6	csn3-1 mutant light replicate 2	GSM245911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn3-1 mutant
GSE9728GSM245922	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn4-1 mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn4-1 mutant	7	day	GSE9728GSM245922 sample	P-G9728-8	GSE9728GSM245922 extract	total_RNA	P-G9728-1	GSE9728GSM245922 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn4-1_mutant_dark replicate 1	A-AFFY-2	P-AFFY-6	csn4-1_mutant_dark replicate 1	GSM245922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn4-1 mutant
GSE9728GSM245924	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn4-1 mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn4-1 mutant	7	day	GSE9728GSM245924 sample	P-G9728-8	GSE9728GSM245924 extract	total_RNA	P-G9728-1	GSE9728GSM245924 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn4-1_mutant_dark replicate 3	A-AFFY-2	P-AFFY-6	csn4-1_mutant_dark replicate 3	GSM245924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn4-1 mutant
GSE9728GSM245923	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings, dark grown:  csn4-1 mutant 7 day old seedlings dark grown. mutant, 7 day old seedlings, dark grown"	seedling	csn4-1 mutant	7	day	GSE9728GSM245923 sample	P-G9728-8	GSE9728GSM245923 extract	total_RNA	P-G9728-1	GSE9728GSM245923 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn4-1_mutant_dark replicate 2	A-AFFY-2	P-AFFY-6	csn4-1_mutant_dark replicate 2	GSM245923.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	dark	csn4-1 mutant
GSE9728GSM88049	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"7 day old seedlings:  csn4-1 mutant 7 day old seedlings light grown. mutant, 7 day old seedlings, light grown"	seedling	csn4-1 mutant	7	day	GSE9728GSM88049 sample	P-G9728-2	GSE9728GSM88049 extract	total_RNA	P-G9728-1	GSE9728GSM88049 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	csn4-1_mutant replicate 1	A-AFFY-2	P-AFFY-6	csn4-1_mutant replicate 1	GSM88049.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.raw.1.zip	E-GEOD-9728-processed-data-1632624849.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9728/E-GEOD-9728.processed.1.zip	light	csn4-1 mutant
