Source Name	Material Type	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Hybridization Name	Array Design REF	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]
GSE18153GSM453774	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on control media, Gene expression data from  7-day-old seedlings grown on H2O control media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on control media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453774 sample	organism_part	P-G18153-5	GSE18153GSM453774 extract	total_RNA	P-G18153-3	GSE18153GSM453774 LE biotin	synthetic_RNA	biotin	H2O, biological rep1	A-AFFY-2	P-G18153-4	GSE18153GSM453774 Norm	GSM453774_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453775	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on control media, Gene expression data from  7-day-old seedlings grown on H2O control media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on control media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453775 sample	organism_part	P-G18153-5	GSE18153GSM453775 extract	total_RNA	P-G18153-3	GSE18153GSM453775 LE biotin	synthetic_RNA	biotin	H2O, biological rep2	A-AFFY-2	P-G18153-4	GSE18153GSM453775 Norm	GSM453775_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453776	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on control media, Gene expression data from  7-day-old seedlings grown on H2O control media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on control media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453776 sample	organism_part	P-G18153-5	GSE18153GSM453776 extract	total_RNA	P-G18153-3	GSE18153GSM453776 LE biotin	synthetic_RNA	biotin	H2O, biological rep3	A-AFFY-2	P-G18153-4	GSE18153GSM453776 Norm	GSM453776_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453777	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on 30% 2H2O media, Gene expression data from 7-day-old seedlings grown on 30% 2H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on 30% 2H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453777 sample	organism_part	P-G18153-5	GSE18153GSM453777 extract	total_RNA	P-G18153-3	GSE18153GSM453777 LE biotin	synthetic_RNA	biotin	D2O, biological rep1	A-AFFY-2	P-G18153-4	GSE18153GSM453777 Norm	GSM453777_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453778	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on 30% 2H2O media, Gene expression data from  7-day-old seedlings grown on 30% 2H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on 30% 2H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453778 sample	organism_part	P-G18153-5	GSE18153GSM453778 extract	total_RNA	P-G18153-3	GSE18153GSM453778 LE biotin	synthetic_RNA	biotin	D2O, biological rep2	A-AFFY-2	P-G18153-4	GSE18153GSM453778 Norm	GSM453778_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453779	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on 30% 2H2O media, Gene expression data from 7-day-old seedlings grown on 30% 2H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on 30% 2H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453779 sample	organism_part	P-G18153-5	GSE18153GSM453779 extract	total_RNA	P-G18153-3	GSE18153GSM453779 LE biotin	synthetic_RNA	biotin	D2O, biological rep3	A-AFFY-2	P-G18153-4	GSE18153GSM453779 Norm	GSM453779_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453780	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on H2O media and transferred to H2O media, Gene expression data from 7-day-old seedlings grown on H2O media and transferred to H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on H2O media and transferred to H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453780 sample	organism_part	P-G18153-5	GSE18153GSM453780 extract	total_RNA	P-G18153-3	GSE18153GSM453780 LE biotin	synthetic_RNA	biotin	HH, biological rep1	A-AFFY-2	P-G18153-4	GSE18153GSM453780 Norm	GSM453780_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453781	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on H2O media and transferred to H2O media, Gene expression data from 7-day-old seedlings grown on H2O media and transferred to H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on H2O media and transferred to H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453781 sample	organism_part	P-G18153-5	GSE18153GSM453781 extract	total_RNA	P-G18153-3	GSE18153GSM453781 LE biotin	synthetic_RNA	biotin	HH, biological rep2	A-AFFY-2	P-G18153-4	GSE18153GSM453781 Norm	GSM453781_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453782	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on H2O media and transferred to H2O media, Gene expression data from 7-day-old seedlings grown on H2O media and transferred to H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on H2O media and transferred to H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453782 sample	organism_part	P-G18153-5	GSE18153GSM453782 extract	total_RNA	P-G18153-3	GSE18153GSM453782 LE biotin	synthetic_RNA	biotin	HH, biological rep3	A-AFFY-2	P-G18153-4	GSE18153GSM453782 Norm	GSM453782_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453783	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media, Gene expression data from7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453783 sample	organism_part	P-G18153-5	GSE18153GSM453783 extract	total_RNA	P-G18153-3	GSE18153GSM453783 LE biotin	synthetic_RNA	biotin	HD, biological rep1	A-AFFY-2	P-G18153-4	GSE18153GSM453783 Norm	GSM453783_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453784	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media, Gene expression data from 7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453784 sample	organism_part	P-G18153-5	GSE18153GSM453784 extract	total_RNA	P-G18153-3	GSE18153GSM453784 LE biotin	synthetic_RNA	biotin	HD, biological rep2	A-AFFY-2	P-G18153-4	GSE18153GSM453784 Norm	GSM453784_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453785	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media, Gene expression data from 7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on H2O media and transferred to 30% 2H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453785 sample	organism_part	P-G18153-5	GSE18153GSM453785 extract	total_RNA	P-G18153-3	GSE18153GSM453785 LE biotin	synthetic_RNA	biotin	HD, biological rep3	A-AFFY-2	P-G18153-4	GSE18153GSM453785 Norm	GSM453785_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453786	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on 30% 2H2O media and transferred to H2O media, Gene expression data from 7-day-old seedlings grown on 30% 2H2O media and transferred to H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on 30% 2H2O media and transferred to H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453786 sample	organism_part	P-G18153-5	GSE18153GSM453786 extract	total_RNA	P-G18153-3	GSE18153GSM453786 LE biotin	synthetic_RNA	biotin	DH, biological rep1	A-AFFY-2	P-G18153-4	GSE18153GSM453786 Norm	GSM453786_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
GSE18153GSM453787	whole_organism	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7-day-old seedlings grown on 30% 2H2O media and transferred to H2O media, Gene expression data from 7-day-old seedlings grown on 30% 2H2O media and transferred to H2O media. age: 7-day; tissue: seedling; ecotype: Columbia	7-day-old seedlings grown on 30% 2H2O media and transferred to H2O media	age: 7-day; tissue: seedling; ecotype: Columbia	P-G18153-1	P-G18153-2	GSE18153GSM453787 sample	organism_part	P-G18153-5	GSE18153GSM453787 extract	total_RNA	P-G18153-3	GSE18153GSM453787 LE biotin	synthetic_RNA	biotin	DH, biological rep2	A-AFFY-2	P-G18153-4	GSE18153GSM453787 Norm	GSM453787_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18153/E-GEOD-18153.processed.1.zip	ATH1-121501.CDF
