,ReturnCode,RowId,SampleCEL,SampleFile,SampleId,SeriesId
892,0,1072,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE37408/GSE37408_GSM918085.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM918nnn/GSM918085/suppl/GSM918085_rgs1_no_sugar_2-74.CEL.gz,GSM918085,GSE37408
893,0,1073,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE37408/GSE37408_GSM918086.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM918nnn/GSM918086/suppl/GSM918086_rgs1_no_sugar_3-75.CEL.gz,GSM918086,GSE37408
894,0,1074,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE37408/GSE37408_GSM918087.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM918nnn/GSM918087/suppl/GSM918087_rgs1_sucrose_1-26.CEL.gz,GSM918087,GSE37408
895,0,1075,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE37408/GSE37408_GSM918088.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM918nnn/GSM918088/suppl/GSM918088_rgs1_sucrose_2-50.CEL.gz,GSM918088,GSE37408
896,0,1076,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE37408/GSE37408_GSM918089.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM918nnn/GSM918089/suppl/GSM918089_rgs1_sucrose_3-71.CEL.gz,GSM918089,GSE37408
897,0,1077,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048365.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048365/suppl/GSM1048365_A421_Col_I_1d.CEL.gz,GSM1048365,GSE42710
898,0,1078,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048366.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048366/suppl/GSM1048366_A421_Col_I_2d.CEL.gz,GSM1048366,GSE42710
899,0,1079,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048367.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048367/suppl/GSM1048367_A421_Col_I_4b.CEL.gz,GSM1048367,GSE42710
900,0,1080,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048368.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048368/suppl/GSM1048368_A421_Col_I-II_30-1.CEL.gz,GSM1048368,GSE42710
901,0,1081,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048369.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048369/suppl/GSM1048369_A421_Col_I-II_30-2.CEL.gz,GSM1048369,GSE42710
902,0,1082,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048370.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048370/suppl/GSM1048370_A421_Col_I-II_30-3.CEL.gz,GSM1048370,GSE42710
903,0,1083,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048371.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048371/suppl/GSM1048371_A421_Col_I-II_60-1.CEL.gz,GSM1048371,GSE42710
904,0,1084,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048372.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048372/suppl/GSM1048372_A421_Col_I-II_60-2.CEL.gz,GSM1048372,GSE42710
905,0,1085,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048373.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048373/suppl/GSM1048373_A421_Col_I-II_60-3.CEL.gz,GSM1048373,GSE42710
906,0,1086,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048374.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048374/suppl/GSM1048374_A421_stn_7_I_1c.CEL.gz,GSM1048374,GSE42710
907,0,1087,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048375.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048375/suppl/GSM1048375_A421_stn_7_I_2c.CEL.gz,GSM1048375,GSE42710
908,0,1088,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048376.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048376/suppl/GSM1048376_A421_stn_7_I_5a.CEL.gz,GSM1048376,GSE42710
909,0,1089,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048377.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048377/suppl/GSM1048377_A421_stn_7_I-II_30-1.CEL.gz,GSM1048377,GSE42710
910,0,1090,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048378.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048378/suppl/GSM1048378_A421_stn_7_I-II_30-2.CEL.gz,GSM1048378,GSE42710
911,0,1091,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048379.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048379/suppl/GSM1048379_A421_stn_7_I-II_30-3.CEL.gz,GSM1048379,GSE42710
912,0,1092,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048380.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048380/suppl/GSM1048380_A421_stn_7_I-II_60-1.CEL.gz,GSM1048380,GSE42710
913,0,1093,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048381.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048381/suppl/GSM1048381_A421_stn_7_I-II_60-2.CEL.gz,GSM1048381,GSE42710
914,0,1094,/nv/hswarm1/schockalingam6/scratch/microarrays/GSE42710/GSE42710_GSM1048382.cel.gz,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1048nnn/GSM1048382/suppl/GSM1048382_A421_stn_7_I-II_60-3.CEL.gz,GSM1048382,GSE42710
