ID,PROBE
AT4G34870,248126_at
AT4G34870,253221_at
AT4G35870,253107_at
AT4G35870,253106_at
AT4G37680,266075_s_at
AT4G37680,253059_s_at
AT4G38280,253004_at
AT4G38280,245134_s_at
AT4G38290,266075_s_at
AT4G38290,253004_at
AT4G38760,252960_at
AT4G38760,252961_at
AT4G39420,252894_at
AT4G39420,252895_at
AT4G39420,252892_at
AT4G39480,252897_at
AT4G39480,252896_at
AT5G01980,248622_at
AT5G01980,251077_at
AT5G02870,249054_at
AT5G02870,250973_at
AT5G05860,250750_at
AT5G05860,250753_at
AT5G08230,250573_at
AT5G08230,250574_at
AT5G14040,247272_at
AT5G14040,250206_at
AT5G19800,245968_at
AT5G19800,245967_at
AT5G22830,267366_at
AT5G22830,249864_at
AT5G22850,251338_at
AT5G22850,249859_at
AT5G22850,249914_at
AT5G26880,246851_at
AT5G26880,246852_at
AT5G27410,246768_at
AT5G27410,246786_at
AT5G38660,249525_at
AT5G38660,249519_at
AT5G39130,249492_at
AT5G39130,249474_s_at
AT5G39130,249491_at
AT5G39160,249492_at
AT5G39160,249474_s_at
AT5G39190,249492_at
AT5G39190,249474_s_at
AT5G41080,249265_at
AT5G41080,249337_at
AT5G41240,249316_s_at
AT5G41240,249317_at
AT5G42010,264474_s_at
AT5G42010,249252_at
AT5G43640,261995_at
AT5G43640,249105_at
AT5G44650,249006_at
AT5G44650,249007_at
AT5G47400,248786_at
AT5G47400,248785_at
AT5G57150,247938_at
AT5G57150,247945_at
AT5G57260,247952_at
AT5G57260,247953_at
AT5G61910,247493_at
AT5G61910,247500_at
AT5G62690,264699_at
AT5G62690,247442_s_at
AT5G65110,254687_at
AT5G65110,247176_at
AT5G65360,247180_at
AT5G65360,247192_at
AT5G65780,247157_at
AT5G65780,247158_at
AT5G66230,247133_at
AT5G66230,247134_at
ATMG00060,257338_s_at
ATMG00060,257337_at
