FileId,Accepted,QCNotes
E-AFMX-9_7,N,Corrupt/Missing CEL
E-AFMX-9_8,N,Corrupt/Missing CEL
E-AFMX-9_82,N,Corrupt/Missing CEL
E-AFMX-9_83,N,Corrupt/Missing CEL
E-AFMX-9_84,N,Corrupt/Missing CEL
E-AFMX-9_9,N,Corrupt/Missing CEL
E-ATMX-3_1,Y,NA
E-ATMX-3_10,Y,NA
E-ATMX-3_11,Y,NA
E-ATMX-3_12,Y,NA
E-ATMX-3_13,Y,NA
E-ATMX-3_14,Y,NA
E-ATMX-3_15,Y,NA
E-ATMX-3_16,Y,NA
E-ATMX-3_2,Y,NA
E-ATMX-3_3,Y,NA
E-ATMX-3_4,Y,NA
E-ATMX-3_5,Y,NA
E-ATMX-3_6,Y,NA
E-ATMX-3_7,Y,NA
E-ATMX-3_8,Y,NA
E-ATMX-3_9,Y,NA
E-MEXP-1112_1,Y,NA
E-MEXP-1112_10,Y,NA
E-MEXP-1112_11,Y,NA
E-MEXP-1112_12,Y,NA
E-MEXP-1112_13,Y,NA
E-MEXP-1112_14,Y,NA
E-MEXP-1112_15,Y,NA
E-MEXP-1112_16,Y,NA
E-MEXP-1112_2,Y,NA
E-MEXP-1112_3,Y,NA
E-MEXP-1112_4,Y,NA
E-MEXP-1112_5,Y,NA
E-MEXP-1112_6,Y,NA
E-MEXP-1112_7,Y,NA
E-MEXP-1112_8,Y,NA
E-MEXP-1112_9,Y,NA
E-MEXP-1256_1,Y,NA
E-MEXP-1256_2,Y,NA
E-MEXP-1256_3,Y,NA
E-MEXP-1256_4,Y,NA
E-MEXP-1256_5,Y,NA
E-MEXP-1256_6,Y,NA
E-MEXP-1256_7,Y,NA
E-MEXP-1256_8,Y,NA
E-MEXP-1256_9,Y,NA
E-MEXP-1299_1,Y,NA
E-MEXP-1299_10,Y,NA
E-MEXP-1299_11,Y,NA
E-MEXP-1299_12,Y,NA
E-MEXP-1299_13,Y,NA
E-MEXP-1299_14,Y,NA
E-MEXP-1299_15,Y,NA
E-MEXP-1299_16,Y,NA
E-MEXP-1299_17,Y,NA
E-MEXP-1299_18,Y,NA
E-MEXP-1299_19,Y,NA
E-MEXP-1299_2,Y,NA
E-MEXP-1299_20,N,Manual Rejection
E-MEXP-1299_21,N,Manual Rejection
E-MEXP-1299_22,Y,Manual Acceptance
E-MEXP-1299_23,Y,NA
E-MEXP-1299_24,Y,NA
E-MEXP-1299_25,Y,NA
E-MEXP-1299_26,Y,NA
E-MEXP-1299_27,Y,NA
E-MEXP-1299_28,Y,NA
E-MEXP-1299_29,Y,NA
E-MEXP-1299_3,Y,NA
E-MEXP-1299_30,Y,NA
E-MEXP-1299_31,Y,NA
E-MEXP-1299_32,Y,NA
E-MEXP-1299_33,Y,NA
E-MEXP-1299_34,Y,NA
E-MEXP-1299_35,Y,NA
E-MEXP-1299_36,N,Automatic QC Rejection
E-MEXP-1299_4,Y,NA
E-MEXP-1299_5,Y,NA
E-MEXP-1299_6,Y,NA
E-MEXP-1299_7,Y,NA
E-MEXP-1299_8,Y,NA
E-MEXP-1299_9,Y,NA
E-MEXP-1304_1,Y,NA
E-MEXP-1304_10,Y,NA
E-MEXP-1304_11,Y,NA
E-MEXP-1304_12,Y,NA
E-MEXP-1304_13,Y,NA
E-MEXP-1304_14,Y,NA
E-MEXP-1304_15,Y,NA
E-MEXP-1304_16,Y,NA
E-MEXP-1304_17,Y,NA
E-MEXP-1304_18,Y,NA
E-MEXP-1304_19,Y,NA
E-MEXP-1304_2,Y,NA
E-MEXP-1304_20,Y,NA
E-MEXP-1304_21,Y,NA
E-MEXP-1304_22,Y,NA
E-MEXP-1304_23,Y,NA
E-MEXP-1304_24,Y,NA
E-MEXP-1304_25,Y,NA
E-MEXP-1304_26,Y,NA
E-MEXP-1304_27,Y,NA
E-MEXP-1304_28,Y,NA
E-MEXP-1304_29,Y,NA
E-MEXP-1304_3,Y,NA
E-MEXP-1304_30,Y,NA
E-MEXP-1304_31,Y,NA
E-MEXP-1304_32,Y,NA
E-MEXP-1304_34,Y,NA
E-MEXP-1304_35,Y,NA
E-MEXP-1304_37,Y,NA
E-MEXP-1304_39,N,Manual Rejection
E-MEXP-1304_4,Y,NA
E-MEXP-1304_41,Y,NA
E-MEXP-1304_43,Y,NA
E-MEXP-1304_45,Y,NA
E-MEXP-1304_47,Y,NA
E-MEXP-1304_49,Y,NA
E-MEXP-1304_5,Y,NA
E-MEXP-1304_51,Y,NA
E-MEXP-1304_53,Y,NA
E-MEXP-1304_55,Y,NA
E-MEXP-1304_57,N,Manual Rejection
E-MEXP-1304_59,Y,NA
E-MEXP-1304_6,Y,NA
E-MEXP-1304_7,Y,NA
E-MEXP-1304_73,Y,NA
E-MEXP-1304_74,Y,NA
E-MEXP-1304_75,Y,NA
E-MEXP-1304_76,Y,NA
E-MEXP-1304_77,Y,NA
E-MEXP-1304_78,Y,NA
E-MEXP-1304_79,Y,NA
E-MEXP-1304_8,Y,NA
E-MEXP-1304_80,Y,NA
E-MEXP-1304_81,Y,NA
E-MEXP-1304_82,Y,NA
E-MEXP-1304_83,Y,NA
E-MEXP-1304_84,Y,NA
E-MEXP-1304_9,N,Manual Rejection
E-MEXP-1310_1,Y,NA
E-MEXP-1310_2,Y,NA
E-MEXP-1310_3,Y,NA
E-MEXP-1310_4,Y,NA
E-MEXP-1310_5,Y,NA
E-MEXP-1310_6,Y,NA
E-MEXP-1399_1,Y,NA
E-MEXP-1399_10,Y,NA
E-MEXP-1399_11,Y,NA
E-MEXP-1399_12,Y,NA
E-MEXP-1399_2,Y,NA
E-MEXP-1399_3,Y,NA
E-MEXP-1399_4,Y,NA
E-MEXP-1399_5,Y,NA
E-MEXP-1399_6,Y,NA
E-MEXP-1399_7,Y,NA
E-MEXP-1399_8,Y,NA
E-MEXP-1399_9,Y,NA
E-MEXP-1400_1,Y,NA
E-MEXP-1400_10,Y,NA
E-MEXP-1400_11,Y,NA
E-MEXP-1400_12,Y,NA
E-MEXP-1400_2,Y,NA
E-MEXP-1400_3,Y,NA
E-MEXP-1400_4,Y,NA
E-MEXP-1400_5,Y,NA
E-MEXP-1400_6,Y,NA
E-MEXP-1400_7,Y,NA
