Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Term Source REF	Term Accession Number	Comment[Compound]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [STRAIN]	Term Source REF	Term Accession Number
ABRC-CS57670 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57670	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57670 1	P-TABM-103	ABRC-CS57670 1	total_RNA	P-TABM-hans19	ABRC-CS57670 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R914	A-AFFY-2	P-AFFY-6	R914	R914.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57670	  	  
ABRC-CS57601 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57601	EFO	EFO_0000029	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57601 1	P-TABM-103	ABRC-CS57601 1	total_RNA	P-TABM-hans19	ABRC-CS57601 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R301	A-AFFY-2	P-AFFY-6	R301	R301.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57601	EFO	EFO_0000029
ABRC-CS57710 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57710	EFO	EFO_0000069	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57710 1	P-TABM-103	ABRC-CS57710 1	total_RNA	P-TABM-hans19	ABRC-CS57710 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R383	A-AFFY-2	P-AFFY-6	R383	R383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57710	EFO	EFO_0000069
ABRC-CS57699 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57699	EFO	EFO_0000063	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57699 1	P-TABM-103	ABRC-CS57699 1	total_RNA	P-TABM-hans19	ABRC-CS57699 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R328	A-AFFY-2	P-AFFY-6	R328	R328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57699	EFO	EFO_0000063
ABRC-CS57671 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57671	EFO	EFO_0000059	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57671 2	P-TABM-103	ABRC-CS57671 2	total_RNA	P-TABM-hans19	ABRC-CS57671 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R723	A-AFFY-2	P-AFFY-6	R723	R723.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57671	EFO	EFO_0000059
ABRC-CS57760 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57760	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57760 1	P-TABM-103	ABRC-CS57760 1	total_RNA	P-TABM-hans19	ABRC-CS57760 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1164	A-AFFY-2	P-AFFY-6	R1164	R1164.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57760	  	  
ABRC-CS57867 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57867	EFO	EFO_0000149	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57867 1	P-TABM-103	ABRC-CS57867 1	total_RNA	P-TABM-hans19	ABRC-CS57867 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R304	A-AFFY-2	P-AFFY-6	R304	R304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57867	EFO	EFO_0000149
ABRC-CS57924 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57924	EFO	EFO_0000166	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57924 1	P-TABM-103	ABRC-CS57924 1	total_RNA	P-TABM-hans19	ABRC-CS57924 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1126	A-AFFY-2	P-AFFY-6	R1126	R1126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57924	EFO	EFO_0000166
ABRC-CS57871 1	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57871	EFO	EFO_0000151	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57871 1	P-TABM-103	ABRC-CS57871 1	total_RNA	P-TABM-hans19	ABRC-CS57871 1 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R341	A-AFFY-2	P-AFFY-6	R341	R341.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57871	EFO	EFO_0000151
ABRC-CS57655 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57655	EFO	EFO_0000053	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57655 2	P-TABM-103	ABRC-CS57655 2	total_RNA	P-TABM-hans19	ABRC-CS57655 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R727	A-AFFY-2	P-AFFY-6	R727	R727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57655	EFO	EFO_0000053
ABRC-CS57878 2	6	weeks	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	CS57878	  	  	0.3 mM salicylic acid	P-TABM-hans18	ABRC-CS57878 2	P-TABM-103	ABRC-CS57878 2	total_RNA	P-TABM-hans19	ABRC-CS57878 2 biotin	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	R1348	A-AFFY-2	P-AFFY-6	R1348	R1348.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-518/E-TABM-518.raw.1.zip	CS57878	  	  
