FileId,Accepted,QCNotes
E-MTAB-1597_4,Y,NA
E-MTAB-1597_5,Y,NA
E-MTAB-1597_6,Y,NA
E-MTAB-1597_7,Y,NA
E-MTAB-1597_8,Y,NA
E-MTAB-1601_1,Y,NA
E-MTAB-1601_2,Y,NA
E-MTAB-1601_3,Y,NA
E-MTAB-2297_1,Y,NA
E-MTAB-2297_10,Y,NA
E-MTAB-2297_11,Y,NA
E-MTAB-2297_12,Y,NA
E-MTAB-2297_2,Y,NA
E-MTAB-2297_3,Y,NA
E-MTAB-2297_4,Y,NA
E-MTAB-2297_5,Y,NA
E-MTAB-2297_6,Y,NA
E-MTAB-2297_7,Y,NA
E-MTAB-2297_8,Y,NA
E-MTAB-2297_9,Y,NA
E-MTAB-3011_1,Y,NA
E-MTAB-3011_10,Y,NA
E-MTAB-3011_11,Y,NA
E-MTAB-3011_12,Y,NA
E-MTAB-3011_2,Y,NA
E-MTAB-3011_3,Y,NA
E-MTAB-3011_4,Y,NA
E-MTAB-3011_5,Y,NA
E-MTAB-3011_6,Y,NA
E-MTAB-3011_7,Y,NA
E-MTAB-3011_8,Y,NA
E-MTAB-3011_9,Y,NA
E-MTAB-3253_1,Y,NA
E-MTAB-3253_2,Y,NA
E-MTAB-3253_3,Y,NA
E-MTAB-3253_4,Y,NA
E-TABM-18_1,Y,NA
E-TABM-18_10,Y,NA
E-TABM-18_11,Y,NA
E-TABM-18_12,Y,NA
E-TABM-18_13,Y,NA
E-TABM-18_14,Y,NA
E-TABM-18_15,Y,NA
E-TABM-18_16,Y,NA
E-TABM-18_17,Y,NA
E-TABM-18_18,Y,NA
E-TABM-18_19,Y,NA
E-TABM-18_2,Y,NA
E-TABM-18_20,Y,NA
E-TABM-18_21,Y,NA
E-TABM-18_22,Y,NA
E-TABM-18_23,Y,NA
E-TABM-18_24,Y,NA
E-TABM-18_25,Y,NA
E-TABM-18_26,Y,NA
E-TABM-18_27,Y,NA
E-TABM-18_28,Y,NA
E-TABM-18_29,N,Automatic QC Rejection
E-TABM-18_3,Y,NA
E-TABM-18_30,Y,NA
E-TABM-18_31,Y,NA
E-TABM-18_32,Y,NA
E-TABM-18_33,Y,NA
E-TABM-18_34,Y,NA
E-TABM-18_35,Y,NA
E-TABM-18_36,Y,NA
E-TABM-18_37,N,Automatic QC Rejection
E-TABM-18_38,Y,NA
E-TABM-18_39,Y,NA
E-TABM-18_4,Y,NA
E-TABM-18_40,Y,NA
E-TABM-18_41,Y,NA
E-TABM-18_42,Y,NA
E-TABM-18_43,Y,NA
E-TABM-18_44,Y,NA
E-TABM-18_45,Y,NA
E-TABM-18_46,Y,NA
