TFName 	 TFLocus 	 TargetName 	 TargetLocus 	 IsTF 	 TargetType 	 Confirmation 	 InteractionType
?GATA24 	 AT3G21175 	 DET3 	 AT1G12840 	 No 	 Direct 	 Confirmed 	 \N
?IAA30 	 AT3G62100 	 PHV 	 AT1G30490 	 Yes 	 Direct 	 Confirmed 	 \N
?MYB1 	 AT2G20400 	 PLA2-? 	 AT4G29460 	 No 	 Direct 	 Confirmed 	 Activation
?MYB2 	 AT3G13040 	 PLA2-? 	 AT4G29461 	 No 	 Direct 	 Confirmed 	 Activation
ABF1 	 AT1G49720 	 MYB46 	 AT5G12870 	 Yes 	 Direct 	 Confirmed 	 \N
ABF4 	 AT3G19290 	 ?BGLU46 	 AT1G61820 	 No 	 Direct 	 Confirmed 	 \N
ABF4 	 AT3G19290 	 IRX9 	 AT2G37090 	 No 	 Direct 	 Confirmed 	 \N
ABF4 	 AT3G19290 	 LAC17 	 AT5G60020 	 No 	 Direct 	 Confirmed 	 \N
ABF4 	 AT3G19290 	 PHV 	 AT1G30490 	 Yes 	 Direct 	 Confirmed 	 \N
ABI5 	 AT2G36270 	 ABR 	 AT3G02480 	 N/A 	 Direct 	 Confirmed 	 \N
ABS2 	 AT2G36080 	 PHB 	 AT2G34710 	 Yes 	 Direct 	 Confirmed 	 \N
ADOF2 	 AT3G21270 	 REV 	 AT5G60690 	 Yes 	 Direct 	 Confirmed 	 \N
AG 	 AT4G18960 	 AG 	 AT4G18960 	 Yes 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 AP3 	 AT3G54340 	 Yes 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 AtGA3ox1 	 AT1G15550 	 No 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 CRC 	 AT1G69180 	 Yes 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 GIK 	 AT2G35270 	 No 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 SEPALLATA3 	 AT1G24260 	 Yes 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 SHP2 	 AT2G42830 	 Yes 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 SPL 	 AT2G27330 	 Yes 	 Direct 	 Confirmed 	 Activation
AG 	 AT4G18960 	 SUP 	 AT3G23130 	 Yes 	 Direct 	 Confirmed 	 Activation
AGF1 	 AT4G35390 	 AtGA3ox1 	 AT1G15550 	 No 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 ABI3 	 AT3G24650 	 Yes 	 Direct 	 Confirmed 	 Activation
AGL15 	 AT5G13790 	 AGL15 	 AT5G13790 	 Yes 	 Direct 	 Confirmed 	 Activation
AGL15 	 AT5G13790 	 AGL18 	 AT3G57390 	 Yes 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 AGL22 	 AT2G22540 	 Yes 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 AT1G30040 	 AT1G30040 	 No 	 Direct 	 Confirmed 	 Unknown
AGL15 	 AT5G13790 	 AT1G52690 	 AT1G52690 	 No 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 AT2G21060 	 AT2G21060 	 No 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 AT2G45830 	 AT2G45830 	 No 	 Direct 	 Confirmed 	 Repression
AGL15 	 AT5G13790 	 AT4G38680 	 AT4G38680 	 No 	 Direct 	 Confirmed 	 Unknown
