Source Name	Material Type	Characteristics[organism]	Characteristics[specimen with known storage state]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[initial time point]	Characteristics[organism part]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[age]	Unit[time unit]	Factor Value[genotype]	Factor Value[time]	Unit[time unit]
agl24 day0 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day0 A	P-MTAB-35733	L_agl24 day0 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day0 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day0_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	agl24 (SALK_095007)	0	day
agl24 day0 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day0 B	P-MTAB-35733	L_agl24 day0 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day0 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day0_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	agl24 (SALK_095007)	0	day
agl24 day3 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day3 A	P-MTAB-35733	L_agl24 day3 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day3 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day3_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	agl24 (SALK_095007)	3	day
agl24 day3 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	28	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day3 B	P-MTAB-35733	L_agl24 day3 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day3 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day3_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	28	day	agl24 (SALK_095007)	3	day
agl24 day5 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day5 A	P-MTAB-35733	L_agl24 day5 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day5 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day5_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	agl24 (SALK_095007)	5	day
agl24 day5 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	30	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day5 B	P-MTAB-35733	L_agl24 day5 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day5 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day5_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	30	day	agl24 (SALK_095007)	5	day
agl24 day7 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day7 A	P-MTAB-35733	L_agl24 day7 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day7 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day7_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	agl24 (SALK_095007)	7	day
agl24 day7 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	32	day	germination	apical shoot meristem	agl24 (SALK_095007)	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_agl24 day7 B	P-MTAB-35733	L_agl24 day7 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_agl24 day7 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	agl24_day7_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	32	day	agl24 (SALK_095007)	7	day
Col-0 day0 A	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day0 A	P-MTAB-35733	L_Col-0 day0 A	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day0 A	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day0_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	wild type genotype	0	day
Col-0 day0 B	organism part	Arabidopsis thaliana	frozen specimen	seedling	25	day	germination	apical shoot meristem	wild type genotype	P-MTAB-35730	P-MTAB-35731	P-MTAB-35729	P-MTAB-35732	E_Col-0 day0 B	P-MTAB-35733	L_Col-0 day0 B	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	ArrayExpress	H_Col-0 day0 B	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	Col-0_day0_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-4001/E-MEXP-4001.raw.1.zip	25	day	wild type genotype	0	day
