Source Name	Characteristics [age]	Unit[TimeUnit]	Characteristics [initial time point]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [biosource type]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [genotype]
pmg1pmg2_01	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	pmg1pmg2 double knock out	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_pmg1pmg2_01	total_RNA	P-AFFY-2	L_pmg1pmg2_01	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_pmg1pmg2_01_MH57	A-AFFY-2	P-AFFY-6	MH057.CEL	MH057.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	pmg1pmg2 double knock out
WT1	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	wild type	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_WT1	total_RNA	P-AFFY-2	L_WT1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT1_MH55	A-AFFY-2	P-AFFY-6	MH055.CEL	MH055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	wild type
pmg1pmg2_04	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	pmg1pmg2 double knock out	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_pmg1pmg2_04	total_RNA	P-AFFY-2	L_pmg1pmg2_04	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_pmg1pmg2_04_MH84	A-AFFY-2	P-AFFY-6	MH084.CEL	MH084.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	pmg1pmg2 double knock out
pmg1pmg2_03	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	pmg1pmg2 double knock out	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_pmg1pmg2_03	total_RNA	P-AFFY-2	L_pmg1pmg2_03	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_pmg1pmg2_03_MH83	A-AFFY-2	P-AFFY-6	MH083.CEL	MH083.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	pmg1pmg2 double knock out
pmg1pmg2_02	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	pmg1pmg2 double knock out	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_pmg1pmg2_02	total_RNA	P-AFFY-2	L_pmg1pmg2_02	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_pmg1pmg2_02_MH58	A-AFFY-2	P-AFFY-6	MH058.CEL	MH058.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	pmg1pmg2 double knock out
WT2	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	wild type	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_WT2	total_RNA	P-AFFY-2	L_WT2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT2_MH56	A-AFFY-2	P-AFFY-6	MH056.CEL	MH056.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	wild type
WT3	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	wild type	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_WT3	total_RNA	P-AFFY-2	L_WT3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT3_MH73	A-AFFY-2	P-AFFY-6	MH073.CEL	MH073.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	wild type
WT4	3	week	germination	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	rosette leaf	EFO	EFO_0001984	wild type	seedling	EFO	EFO_0001992	frozen sample	P-MTAB-334	P-MTAB-332	P-MTAB-333	E_WT4	total_RNA	P-AFFY-2	L_WT4	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT4_MH85	A-AFFY-2	P-AFFY-6	MH085.CEL	MH085.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1578/E-MEXP-1578.raw.1.zip	wild type
